City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Cape Town,ZA,64.81,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
2,Putina,PE,49.35,light rain,-15.4667,-69.4333,Hotel Isla Suasi
4,Bredasdorp,ZA,61.29,broken clouds,-34.5322,20.0403,Bredasdorp Country Manor
6,Busselton,AU,73.04,clear sky,-33.65,115.3333,Observatory Guest House
7,Mataura,NZ,65.48,clear sky,-46.1927,168.8643,Ellie's Villa
10,Ushuaia,AR,55.63,overcast clouds,-54.8,-68.3,Albatros Hotel
14,Rosario Oeste,BR,75.04,light rain,-14.8361,-56.4275,Alvorada Palace accomodation
16,Rikitea,PF,77.67,broken clouds,-23.1203,-134.9692,People ThankYou
18,Sao Filipe,CV,75.51,broken clouds,14.8961,-24.4956,Hotel Xaguate
19,Saint George,US,57.25,broken clouds,37.1041,-113.5841,Best Western Plus Abbey Inn
20,Luangwa,ZM,72.88,moderate rain,-15.6167,30.4167,Gerasimos Safari Lodge
22,Esperance,AU,68.4,clear sky,-33.8667,121.9,Hospitality Esperance
26,Ponta Do Sol,PT,66.83,overcast clouds,32.6667,-17.1,Hotel do Campo
31,Ashington,GB,50.43,overcast clouds,50.9331,-0.3909,Tirol House
32,Twante,MM,64.53,clear sky,16.7167,95.9333,Dream Land
34,Caravelas,BR,70.23,light rain,-17.7125,-39.2481,Pousada dos Navegantes
35,Hilo,US,75.25,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
38,East London,ZA,64.15,broken clouds,-33.0153,27.9116,Tu Casa
47,Dingle,PH,75.29,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
51,Sambava,MG,74.43,broken clouds,-14.2667,50.1667,Melrose
52,Arraial Do Cabo,BR,73.2,clear sky,-22.9661,-42.0278,Pousada Porto Praia
54,Coronel,CL,64.83,clear sky,-37.0167,-73.1333,Bután Restaurant & Hotel
55,Matara,LK,72.3,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
60,Castro,BR,56.48,few clouds,-24.7911,-50.0119,CHACARA BAILLY
62,Bluff,NZ,65.8,clear sky,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
63,Te Anau,NZ,68.18,clear sky,-45.4167,167.7167,Kingsgate Hotel Te Anau
64,Likasi,CD,61.27,light rain,-10.9814,26.7333,TABERNACLE DE LIKASI
66,Hermanus,ZA,66.9,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
67,Watsa,CD,66.83,broken clouds,3.0372,29.5355,Hôtel Le Pacifique
68,Buta,CD,72.21,overcast clouds,2.7858,24.73,HOTEL BISO NA BISO
72,Boyuibe,BO,74.1,overcast clouds,-20.4167,-63.2833,Residencial Eluzai
73,San Ignacio,BZ,69.58,few clouds,17.1561,-89.0714,Rainforest Haven Inn
74,Lucapa,AO,65.44,light rain,-8.4192,20.7447,Residência Ulisses Dos Santos
75,Chuy,UY,67.91,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
78,Bengkulu,ID,76.28,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
79,Namibe,AO,67.32,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
81,Hobart,AU,69.12,few clouds,-42.8794,147.3294,Mantra on Collins Hobart
82,Dakar,SN,77.88,overcast clouds,14.6937,-17.4441,Redface Studios Meublés
83,Bilma,NE,61.34,clear sky,18.6853,12.9164,Expeditions Ténére voyages
84,Grand Gaube,MU,76.37,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
86,Nouakchott,MR,71.53,clear sky,18.0858,-15.9785,HOTEL IMAN
88,Ribeira Grande,PT,63.81,overcast clouds,38.5167,-28.7,Quinta da Meia Eira
89,Paita,PE,69.89,clear sky,-5.0892,-81.1144,Hotel Náutico de Paita
95,Jamestown,US,51.39,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
96,Ahipara,NZ,74.61,few clouds,-35.1667,173.1667,Ahipara Holiday Park
97,Kattivakkam,IN,73.08,scattered clouds,13.2167,80.3167,Euronova Freezer
100,Tias,ES,60.55,few clouds,28.9611,-13.645,Hotel Beatriz Playa & SPA
106,Mount Gambier,AU,62.51,overcast clouds,-37.8333,140.7667,The Commodore
109,Celestun,MX,74.41,clear sky,20.8667,-90.4,Posada Lilia
110,Waw,SS,73.35,broken clouds,7.7029,27.9953,Universal Gab Hotel
112,Iseyin,NG,75.69,scattered clouds,7.9667,3.6,Momak Hotels And Suites
115,Azul,AR,72.34,broken clouds,-36.777,-59.8585,Cabañas Dulcinea
118,Mar Del Plata,AR,69.82,broken clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
119,Mahebourg,MU,76.24,overcast clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
120,Bac Lieu,VN,76.95,broken clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
122,Los Llanos De Aridane,ES,60.55,broken clouds,28.6585,-17.9182,Valle Aridane
123,Salinas,US,55.71,broken clouds,36.6777,-121.6555,Laurel Inn & Conference Center
125,Katsuura,JP,51.82,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
128,Prado,BR,69.13,heavy intensity rain,-17.3411,-39.2208,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
130,Sao Lourenco Do Sul,BR,69.89,clear sky,-31.3653,-51.9783,Hotel Pousada Verde Água
134,Souillac,MU,76.35,overcast clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
135,Kothi,IN,55.15,clear sky,24.75,80.7833,KILA-THE HERITAGE PALACE
138,Henderson,US,62.04,clear sky,36.0397,-114.9819,Hawthorn Suites By Wyndham Las Vegas/Henderson
143,Ixtapa,MX,76.23,clear sky,20.7,-105.2,Hotel Plaza Providencia
145,Punta Arenas,CL,59.11,light rain,-53.15,-70.9167,Hotel Hain
147,Sao Joao Da Barra,BR,70.81,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
151,New Norfolk,AU,69.75,scattered clouds,-42.7826,147.0587,The Shingles Riverside Cottages
152,Port Lincoln,AU,64.18,overcast clouds,-34.7333,135.8667,Port Lincoln Hotel
155,Esmeraldas,BR,68.86,scattered clouds,-19.7625,-44.3139,Bom Será - Marcinho e Fernanda
156,Kiri Buru,IN,55.69,clear sky,22.0833,85.35,Lucky India
