City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Nikolskoye,59.7035,30.7861,32.4,96,69,6.4,RU,2021-12-14 02:00:29
1,Marathon,44.9,-89.7668,28.81,93,1,0.0,US,2021-12-14 02:00:30
2,Victoria,22.2855,114.1577,69.24,74,79,1.01,HK,2021-12-14 02:00:07
3,Boulder,40.0833,-105.3505,42.66,32,1,1.99,US,2021-12-14 02:00:30
4,Mapimi,25.8167,-103.85,67.17,39,43,3.94,MX,2021-12-14 02:00:30
5,Rikitea,-23.1203,-134.9692,78.64,75,74,6.26,PF,2021-12-14 02:00:31
6,Fare,-16.7,-151.0167,81.82,70,17,13.58,PF,2021-12-14 02:00:31
7,Tasiilaq,65.6145,-37.6368,35.76,87,100,20.45,GL,2021-12-14 02:00:31
8,Ushuaia,-54.8,-68.3,37.65,95,27,2.48,AR,2021-12-14 02:00:31
9,Hilo,19.7297,-155.09,76.12,35,24,5.95,US,2021-12-14 02:00:32
10,Kyra,49.5776,111.9753,12.54,63,95,4.9,RU,2021-12-14 02:00:32
11,Talcahuano,-36.7167,-73.1167,55.2,79,0,14.18,CL,2021-12-14 02:00:33
12,Chokurdakh,70.6333,147.9167,-19.53,93,100,8.7,RU,2021-12-14 01:56:52
13,Biak,-0.9131,122.8766,84.45,67,66,1.72,ID,2021-12-14 01:58:10
14,Laja,-37.2667,-72.7,51.73,70,0,2.21,CL,2021-12-14 02:00:33
15,Mataura,-46.1927,168.8643,63.48,35,0,6.69,NZ,2021-12-14 02:00:32
16,East London,-33.0153,27.9116,69.42,83,100,20.07,ZA,2021-12-14 02:00:34
17,Fort Nelson,58.8053,-122.7002,-20.2,100,62,2.15,CA,2021-12-14 02:00:34
18,Bluff,-46.6,168.3333,63.81,76,1,21.45,NZ,2021-12-14 02:00:34
19,Barrow,71.2906,-156.7887,-27.38,68,1,5.75,US,2021-12-14 02:00:34
20,Upernavik,72.7868,-56.1549,5.2,95,100,10.25,GL,2021-12-14 02:00:29
21,Donegal,54.65,-8.1167,42.15,91,100,8.19,IE,2021-12-14 02:00:35
22,Punta Arenas,-53.15,-70.9167,48.11,70,94,8.39,CL,2021-12-14 02:00:28
23,Mar Del Plata,-38.0023,-57.5575,63.09,83,57,4.0,AR,2021-12-14 02:00:06
24,Diplo,24.4667,69.584,58.42,28,0,8.93,PK,2021-12-14 02:00:35
25,Bredasdorp,-34.5322,20.0403,60.28,87,97,4.94,ZA,2021-12-14 02:00:36
26,Agas,46.4833,26.2167,31.08,99,98,1.52,RO,2021-12-14 02:00:36
27,Luderitz,-26.6481,15.1594,59.59,85,0,13.6,NA,2021-12-14 01:55:03
28,Saint George,37.1041,-113.5841,50.47,54,100,1.99,US,2021-12-14 01:57:45
29,Mayo,38.8876,-76.5119,47.28,54,86,1.01,US,2021-12-14 02:00:37
30,Gidole,5.65,37.3667,54.46,69,97,2.86,ET,2021-12-14 02:00:37
31,Mahebourg,-20.4081,57.7,77.25,72,21,13.76,MU,2021-12-14 02:00:37
32,Puerto Ayora,-0.7393,-90.3518,68.56,97,56,8.01,EC,2021-12-14 02:00:38
33,Port Blair,11.6667,92.75,80.64,74,40,9.22,IN,2021-12-14 01:58:51
34,Birao,10.2849,22.7882,70.81,30,82,4.79,CF,2021-12-14 02:00:38
35,Daru,-9.0763,143.2092,79.83,82,99,6.4,PG,2021-12-14 02:00:38
36,Grindavik,63.8424,-22.4338,37.87,87,90,28.77,IS,2021-12-14 02:00:39
37,Arraial Do Cabo,-22.9661,-42.0278,75.27,93,100,4.16,BR,2021-12-14 02:00:32
38,Nizwa,22.9333,57.5333,59.11,62,4,2.62,OM,2021-12-14 02:00:39
39,Kodiak,57.79,-152.4072,15.31,86,90,4.61,US,2021-12-14 01:56:51
40,Zhangjiakou,40.81,114.8794,26.56,51,0,5.03,CN,2021-12-14 02:00:40
41,Carnarvon,-24.8667,113.6333,73.6,58,0,22.32,AU,2021-12-14 02:00:40
42,Avarua,-21.2078,-159.775,78.85,94,90,11.5,CK,2021-12-14 02:00:40
